location_id,borough,borough_id,latitude,longitude,listing_id
5764,Bedford-Stuyvesant,2,40.68867,-73.94935,32334635
5765,Upper East Side,3,40.77318,-73.95156,51334395
5766,Upper East Side,3,40.77943,-73.9535,50898831
5767,Upper East Side,3,40.77417732,-73.95259946,13599973
5768,East Village,3,40.72809,-73.98171,68465112
5769,Upper East Side,3,40.78337,-73.94518,33180845
5770,Chelsea,3,40.7458,-73.99857,15733832
5771,West Village,3,40.73327,-74.0096,6101104
5772,Mott Haven,1,40.8127,-73.90988,86155288
5773,Gramercy,3,40.73788,-73.98353,46715472
5774,Bedford-Stuyvesant,2,40.688,-73.93568,10710179
5775,Crown Heights,2,40.67357,-73.91365,59331090
5776,Harlem,3,40.82605,-73.94424,919830
5777,Hell's Kitchen,3,40.76748,-73.9862,52993319
5778,Harlem,3,40.82595,-73.9525,34667590
5779,Hunts Point,1,40.818016,-73.88813,53010674
5780,East Village,3,40.72915,-73.98531,3311834
5781,Upper East Side,3,40.7736,-73.95339,37798666
5782,Chelsea,3,40.74085,-74.00339,8470281
5783,Upper East Side,3,40.769524,-73.956451,12836808
5784,Ditmars Steinway,4,40.77797,-73.90604,1855846
5785,Midtown,3,40.75575,-73.96809,51713806
5786,Gramercy,3,40.73809,-73.98509,42667393
5787,West Village,3,40.73723543,-74.00267017,10142056
5788,Lower East Side,3,40.71936417,-73.98511505,4881420
5789,Upper West Side,3,40.79843,-73.96284,46797479
5790,Midtown,3,40.75717,-73.96741,3499016
5791,Upper East Side,3,40.77056,-73.95134,43112861
5792,Pelham Gardens,1,40.86208,-73.83512,10019312
5793,1dale,1,40.85686,-73.85765,68352118
5794,Canarsie,2,40.63862,-73.9116,82609450
5795,East Village,3,40.72281,-73.98501,74957844
5796,SoHo,3,40.72652,-74.00542,71596983
5797,Washington Heights,3,40.84886,-73.93429,49735358
5798,Upper West Side,3,40.80249509,-73.96451432,67079717
5799,Upper West Side,3,40.79795,-73.96214,31514475
5800,Upper West Side,3,40.79201,-73.97232,19769912
5801,Upper East Side,3,40.7707911,-73.9575008,16821
5802,Upper East Side,3,40.78129,-73.95514,75290886
5803,Midtown,3,40.74657,-73.98867,76476660
5804,Upper West Side,3,40.79493017,-73.97654923,33133494
5805,East Harlem,3,40.79397402,-73.94370885,53427512
5806,Flatbush,2,40.64844,-73.97085,48318184
5807,Astoria,4,40.76997809,-73.92758504,74043016
5808,Bushwick,2,40.69368,-73.92567,48188009
5809,West Village,3,40.731,-74.00346,10144197
5810,Greenpoint,2,40.72516,-73.95004,99434843
5811,Upper East Side,3,40.7660428,-73.9570781,91728023
